Collection,Registration number,Date,CBL,Latitude,Longitude,Island type,WinterMinTemp,AnnualMinTemp,SummerWetBulbTemp,AnnualWetBulbTemp,SummerMaxTemp,AnnualMaxTemp,AnnualRain,P–PET,aaET,NDVI,CenW,GrowSeasRain,GrowSeasaaET,GrowSeasP–PET,GrowSeasNDVI,CVSeasRain,CVSeasaaET,CVSeasP–PET,CVSeasMaxTemp,CVSeasMinTemp,MinSeasRain,MinSeasaaET,MinSeasP–PET,MinSeasNDVI,Soil nutrient availability,Clay content percentage (0 – 30 cm),Soil bulk density (0 – 30 cm)
Museum Victoria,3023,8/9/1961,85.92,-37.15,142.25,Australian mainland,4.148309708,7.600250721,14.47735405,11.08221912,27.09777832,19.92101669,591.5283813,-393.7973633,555.25,5.536710739,814.168457,164.5759888,280,-514.371582,0.440576464,0.323487109,0.38516977,2.540320107,0.289113229,0.387717806,95.25882721,92.4375,-364.5534363,1.258381009,2.049999952,10.38537502,1.38929987
Museum Victoria,3793,15/9/1961,82.82,-15.45,145.25,Australian mainland,18.82917976,21.89558792,25.11787415,22.84732246,31.56216049,29.14325714,1737.766602,14.68947029,869.125,4.983148098,716.7365112,1737.766602,869.125,14.0392065,0.415262341,0.903514945,0.170033115,102.3909363,0.075135361,0.100964214,103.2832108,162.5625,-406.5193176,1.001278281,0.550000012,23.21269035,1.521583796
Australian National Wildlife Collection,M00364,29/10/1961,82.29,-28.4,152.75,Australian mainland,5.273050785,11.5762434,19.94154739,15.78833961,29.17812538,24.7274704,1036.516968,-325.0980835,734,7.336765766,1140.01709,883.3404541,639.5,-280.2155457,0.617366731,0.426720305,0.40065423,0.312558403,0.16395307,0.422856464,153.1764679,94.5,-195.1500397,1.779439688,1,24.69745064,1.283373952
Museums and Art Galleries of the Northern Territory,U 7935,10/11/1961,76.16,-22.7,131.1,Australian mainland,7.70548296,15.67192078,20.04124451,15.46659374,36.7845459,30.77830315,285.5315857,-1632.594604,315.59375,2.523845434,0,275.874939,305.125,-1553.811157,0.209761873,0.628804103,0.685698228,0.314527497,0.186348592,0.387972545,30.09193993,28.96875,-521.5788574,0.586093009,2.730000019,6.468249798,1.345977426
Museum Victoria,3830,6/12/1961,80.29,-36.3,141.55,Australian mainland,4.125710964,7.998403072,15.53864098,12.06935024,29.00326538,21.63309669,394.0702515,-880.2231445,433.0625,3.921868324,404.4169922,136.7081604,195.375,-762.8363037,0.207476899,0.314154414,0.20464225,1.09232006,0.276118515,0.413994558,65.75319672,91.5625,-472.0037842,0.49769634,1,42.27355194,1.386454225
Tasmanian Museum and Art Gallery,A406,30/12/1961,90.21,-40.85,145.1,Tasmania,5.689394474,8.459759712,13.93287468,11.39269257,20.18328857,16.51511383,1073.674683,243.0166321,726.296875,6.962946892,1570.905029,219.6542664,341.359375,-195.7143707,0.570744812,0.339897683,0.467789353,3.741959434,0.183808168,0.27785917,162.3795929,88.265625,-170.3146515,1.647834659,1.610000014,8.569856644,1.252972245
Tasmanian Museum and Art Gallery,A1237,6/2/1962,92.38,-42.65,146.45,Tasmania,1.456523776,4.49446249,10.58587456,7.414968491,19.52870369,14.44142532,1457.971313,829.5603027,638.6875,6.196342468,537.1539917,271.9957581,247.4375,-72.59131622,0.587638676,0.195934697,0.483852218,1.170896549,0.28873028,0.557692069,271.9957581,79.25,-72.44293976,1.297585607,2.069999933,6.80009985,1.279012203
Tasmanian Museum and Art Gallery,A446,30/7/1962,94.49,-42.85,147.4,Tasmania,3.930561304,7.140084267,12.5652504,9.603447914,20.56769753,16.13931465,708.4435425,-79.84509277,519.1875,4.537355423,810.5859985,176.4391632,196.6875,-187.3795624,0.376778334,0.043736906,0.476900552,7.932047147,0.23122615,0.367507009,168.2352753,67.96875,-187.6209412,1.038442373,1.820000052,22.37261009,1.180828929
Tasmanian Museum and Art Gallery,A455,16/7/1962,93.56,-41.4,145.75,Tasmania,2.006275415,4.533508301,11.21551514,8.149381638,17.44383621,12.66598701,1989.52417,1291.802246,678.375,5.940501213,1765.678955,309.5278625,258.5,-38.83237839,0.530680776,0.313800154,0.479472708,1.07441346,0.307440165,0.487101139,309.5278625,80,-38.83177185,1.343293667,1.350000024,31.13674927,0.975090742
Tasmanian Museum and Art Gallery,A460,16/7/1962,94.71,-41.35,145.75,Tasmania,0.881853759,3.158261061,11.56763554,8.541518211,15.45872784,10.32218075,2262.990234,1565.143433,675.1875,6.498993874,1765.678955,362.1018066,255.4375,13.70684814,0.581612885,0.288412355,0.474235184,0.914771918,0.397890561,0.666102987,362.1017761,81.09375,13.71220303,1.446080327,1.5,29.4260006,1.010457039
Australian National Wildlife Collection,M00541,17/8/1962,74.62,-12.75,132.65,Australian mainland,18.05494499,22.07351112,25.9282074,23.26066208,34.07474136,34.22764587,1359.939087,-743.069519,1023.375,4.659955025,699.9909668,1359.939087,1023.375,-742.4381104,0.388329566,1.060089008,0.303299544,2.676042041,0.058101249,0.127669923,4.124418736,146.25,-565.9508057,0.990172684,1.649999976,53.43982315,1.674242973
Museum Victoria,4319,23/9/1962,75.38,-14,143.55,Australian mainland,17.34484673,20.75113678,25.25185966,23.20991325,32.86811066,31.48584175,1339.796875,-538.4196167,896.375,4.155051708,648.1599731,1339.796875,896.375,-537.68927,0.346254349,1.178118384,0.178678715,3.082870689,0.054311037,0.123203094,19.34572411,170.25,-508.2763977,0.900035322,0.949999988,27.6345787,1.547070861
Museum Victoria,8855,10/10/1962,87.09,-43.15,146.85,Tasmania,2.224275589,5.398779869,11.48335361,8.539401054,19.52800941,15.12233353,1289.818848,634.1497192,670.125,6.680314064,1448.646484,248.3532715,270.1875,-97.11304474,0.598854542,0.194275808,0.544686127,1.445284941,0.241371204,0.476863264,248.3532715,72.25,-97.05078125,1.488833308,2,26.16352463,1.004630446
Australian Museum,M 8378,7/12/1962,80.64,-28.55,152.35,Australian mainland,4.482578278,10.29337597,19.40717697,15.11984158,27.40055084,22.52287292,979.446106,-99.85148621,697.6875,7.401352882,1290.831055,723.7304077,520.65625,-144.6865234,0.62106514,0.398098267,0.381694507,3.406526599,0.196017949,0.445667345,147.569046,92.84375,-108.3386536,1.762953401,1,16.08124924,1.312374949
Western Australia Museum,5469,17/1/1963,77.61,-32,115.8,Australian mainland,9.764405251,13.26138592,18.31730843,15.24091148,28.76640892,23.35247612,816.1748047,-707.897522,701.625,2.898339987,792.9584961,275.7470703,548.25,-929.8946533,0.237124741,0.889880268,0.475290547,2.127764335,0.192272199,0.242510351,32.12166595,96.9375,-506.7513733,0.693894982,2.099999905,5.197229385,1.406308532
Western Australia Museum,5729,25/2/1963,63.15,-26.9,117.7,Australian mainland,7.338891029,14.50190258,19.08255196,14.88832378,36.4856987,27.8788414,234.3192902,-1519.316895,223.875,1.967969775,5.469804764,171.1005554,150.65625,-1373.999512,0.157404661,0.438836587,0.437514183,0.551765415,0.258889391,0.408397126,20.99181175,20.0625,-561.3232422,0.379473001,2,19.44352531,1.43166399
Australian Museum,M 8431,25/8/1963,87.06,-33.8,151.15,Australian mainland,6.949282169,12.36527443,19.04132843,14.96733761,26.87684631,22.70387459,1065.817017,-188.9947205,626.5,4.972132206,940.4609375,813.2261353,562.75,-246.5913544,0.41353327,0.180498991,0.554574433,2.481014346,0.163469924,0.348138619,207.7568054,63.75,-156.0639801,1.206343651,3,13.03606415,1.553515315
Museum Victoria,19265,5/8/1963,84.86,-37.85,145,Australian mainland,6.354581833,9.950809479,15.78917694,12.44178867,25.3013916,19.74745369,638.5250854,-418.1761169,558.046875,2.628665686,569.0280151,313.4360046,365.875,-421.7739868,0.24172911,0.083405374,0.508410657,1.615591893,0.233004884,0.300231611,148.3444824,75.171875,-289.6661987,0.533908665,2.700000048,19.31172371,1.396177769
Museum Victoria,19264,20/9/1963,82.05,-37.8,145.05,Australian mainland,6.22003746,9.793362617,15.70220852,12.30831242,25.56326485,19.83304596,672.9440308,-376.0567322,568.75,4.123120785,810.2680054,331.923584,379.25,-401.9937439,0.362073392,0.08717515,0.534016308,1.824556846,0.238563214,0.303660229,156.1987762,73.75,-283.3946228,0.941057324,2.00999999,21.87274933,1.511802554
Australian National Wildlife Collection,M00650,31/10/1963,77.84,-17,145,Australian mainland,11.98587418,16.77639771,22.25429726,19.42816544,31.51775551,29.18172264,713.8746338,-817.0603027,755.875,3.842260122,655.1605225,713.8746338,755.875,-820.1055298,0.320188344,1.209004886,0.161340322,0.724661607,0.087217603,0.216735564,16.27649117,146.1875,-393.0062256,0.674927354,1.75,38.80072403,1.479528189
Queensland Museum,J 12259,12/10/1963,87.6,-27.35,153,Australian mainland,9.045996666,14.73839188,21.61908913,17.69548225,28.90581703,25.35112381,1118.542236,-376.2998657,855.671875,4.69745779,1142.509033,1069.656372,826.3125,-346.3019714,0.391305506,0.439211643,0.473718501,0.517160991,0.128661648,0.301081381,152.8631287,95.265625,-224.5546265,1.10521102,2,36.48186111,1.383832097
Museum Victoria,19273,23/1/1964,79.21,-37.9,145,Australian mainland,6.428132534,10.01880741,15.81317997,12.4953928,25.12820816,19.68249321,639.3968506,-417.2483826,558.34375,2.324780464,569.0280151,310.1276855,364.375,-425.121521,0.20800589,0.079446233,0.50021342,1.645523488,0.229518306,0.296804152,146.3994446,75.84375,-291.5986023,0.504393339,3.599999905,19.69759941,1.313337922
Museum Victoria,19261,24/2/1964,92.59,-40.1,148.25,small island,7.451527119,10.33368587,15.03174019,12.27894783,20.37316704,16.9392643,765.4282227,-51.45459366,697.5,4.405303001,1268.525024,204.7949524,339.625,-211.968338,0.36909616,0.203300188,0.538556597,13.53671588,0.174502723,0.242430888,144.33255,74.375,-191.3331909,1.064417005,2.549999952,5.154217243,1.295605659
Museum Victoria,19270,4/2/1964,82.69,-38,145,Australian mainland,6.563976288,10.11363316,15.86118507,12.60260201,24.74868774,19.46385956,644.5830078,-403.691925,558.9375,2.397608757,569.0280151,302.3100891,361.375,-421.5776672,0.212679356,0.090153498,0.484011576,1.709198107,0.225523493,0.289505586,141.4673309,77.1875,-288.0035706,0.549959242,6,20,1.299999952
Museum Victoria,19260,6/5/1964,78.87,-37.85,145.05,Australian mainland,6.341816425,9.913182259,15.77716637,12.41613579,25.4062748,19.79296875,660.1778564,-388.7324829,567.75,3.326217413,810.2680054,322.9348755,376,-411,0.304741174,0.082714579,0.522716988,1.781640701,0.23451038,0.298888072,152.0254517,74.6875,-287.5209656,0.67523402,2.670000076,20.16830063,1.481428027
Western Australia Museum,7205,23/5/1964,70.24,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Western Australia Museum,7206,25/5/1964,64.02,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Western Australia Museum,7207,21/5/1964,67.57,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Western Australia Museum,19770,15/5/1964,65.63,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Western Australia Museum,19772,15/5/1964,68.25,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Western Australia Museum,7203,6/6/1964,62.59,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Western Australia Museum,7204,1/6/1964,67.53,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Tasmanian Museum and Art Gallery,A523,1/7/1964,89.54,-43.1,147.25,Tasmania,3.959217787,7.076152802,12.83389568,9.991874695,20.10699081,16.08601952,853.0725098,56.21724701,592.375,5.74030447,971.4484863,190.5617981,239.625,-150.6585541,0.491662115,0.104993927,0.551614259,11.14850465,0.210979164,0.360725348,190.5617981,65.875,-150.85672,1.288151026,0.5,32.72002792,1.047875047
Western Australia Museum,7211,7/12/1964,71.36,-32.85,116.95,Australian mainland,5.337659836,9.193100929,16.66600037,13.26148415,30.39785767,22.72772789,502.1335754,-817.9136963,500.03125,4.473340511,586.3099976,102.7410889,213.5625,-809.3428345,0.280336112,0.729833857,0.176442386,1.470923789,0.26938519,0.388544251,37.60222626,103.09375,-487.5290527,0.753726304,1,11.73180008,1.417982936
Western Australia Museum,7212,1/12/1964,73.6,-32.85,116.95,Australian mainland,5.337659836,9.193100929,16.66600037,13.26148415,30.39785767,22.72772789,502.1335754,-817.9136963,500.03125,4.473340511,586.3099976,102.7410889,213.5625,-809.3428345,0.280336112,0.729833857,0.176442386,1.470923789,0.26938519,0.388544251,37.60222626,103.09375,-487.5290527,0.753726304,1,11.73180008,1.417982936
Western Australia Museum,7213,2/12/1964,70.31,-32.85,116.95,Australian mainland,5.337659836,9.193100929,16.66600037,13.26148415,30.39785767,22.72772789,502.1335754,-817.9136963,500.03125,4.473340511,586.3099976,102.7410889,213.5625,-809.3428345,0.280336112,0.729833857,0.176442386,1.470923789,0.26938519,0.388544251,37.60222626,103.09375,-487.5290527,0.753726304,1,11.73180008,1.417982936
Western Australia Museum,7215,1/12/1964,73,-32.85,116.95,Australian mainland,5.337659836,9.193100929,16.66600037,13.26148415,30.39785767,22.72772789,502.1335754,-817.9136963,500.03125,4.473340511,586.3099976,102.7410889,213.5625,-809.3428345,0.280336112,0.729833857,0.176442386,1.470923789,0.26938519,0.388544251,37.60222626,103.09375,-487.5290527,0.753726304,1,11.73180008,1.417982936
South Australian Museum,M7 354,27/1/1965,89.3,-38,140.95,Australian mainland,6.08698988,8.864070892,15.05154228,12.37257671,22.69443893,18.28397751,762.123291,-211.3269806,664,6.329464912,569.6000366,133.3349152,300.5,-367.4094543,0.494204253,0.450724457,0.443736909,4.726341181,0.200424709,0.265902627,96.5845871,91.5,-301.2176819,1.469199419,2.450000048,11.26052475,1.379686952
Museum Victoria,18808,6/5/1965,82.9,-37.85,145,Australian mainland,6.354581833,9.950809479,15.78917694,12.44178867,25.3013916,19.74745369,638.5250854,-418.1761169,558.046875,2.628665686,569.0280151,313.4360046,365.875,-421.7739868,0.24172911,0.083405374,0.508410657,1.615591893,0.233004884,0.300231611,148.3444824,75.171875,-289.6661987,0.533908665,2.700000048,19.31172371,1.396177769
Museum Victoria,19279,29/6/1965,75.84,-35.75,143.9,Australian mainland,4.206935406,9.154269218,16.55624008,12.66704845,30.72670746,22.80968285,350.4570618,-1038.853149,380.25,4.158417225,258.2263489,177.2054749,206.5,-926.1333008,0.292373419,0.163894876,0.124884291,0.911928524,0.282590641,0.455992374,72.81899261,82.84375,-506.7221069,0.710651994,1,39.17309952,1.491051912
Museum Victoria,6184,6/6/1965,85.86,-37.85,145.05,Australian mainland,6.341816425,9.913182259,15.77716637,12.41613579,25.4062748,19.79296875,660.1778564,-388.7324829,567.75,3.326217413,810.2680054,322.9348755,376,-411,0.304741174,0.082714579,0.522716988,1.781640701,0.23451038,0.298888072,152.0254517,74.6875,-287.5209656,0.67523402,2.670000076,20.16830063,1.481428027
Western Australia Museum,22295,21/6/1965,73.48,-18.15,124.25,Australian mainland,13.518857,20.24873352,25.38939476,21.4437294,36.90973282,34.70899582,532.5524902,-2175.32373,448.875,2.993973017,182.5547485,532.5524902,448.875,-2177.371826,0.249497741,1.226652206,0.773494671,0.390270946,0.0929534,0.242637777,15.38798141,41.75,-793.3962402,0.640221,2,20.11372566,1.478348255
Australian National Wildlife Collection,M01059,27/7/1965,77.49,-11.1,132.15,Australian mainland,21.8701973,24.03026962,26.47028732,24.51924515,31.74107552,31.10532761,1318.690552,-458.8208313,1190.5625,2.227719307,783.8815308,1318.690552,1190.5625,-456.0349731,0.185643271,1.094608065,0.229090816,4.051653598,0.042197362,0.062737209,6.340128899,197.375,-484.2108765,0.293251932,0,12.49909115,1.529486656
Australian National Wildlife Collection,M01191,10/8/1965,72.5,-11.2,132.25,Australian mainland,21.73361206,23.93210602,26.44269753,24.45570755,31.85172081,31.19079208,1316.335449,-461.0875854,1206.5,3.559574842,783.8815308,1316.335571,1206.5,-458.5159302,0.296631247,1.093313886,0.230760682,4.023561662,0.043962111,0.064166293,6.271820068,199.75,-484.2812195,0.636793435,1.350000024,22.97592735,1.526682377
Australian National Wildlife Collection,M01194,14/8/1965,75,-11.1,132.15,Australian mainland,21.8701973,24.03026962,26.47028732,24.51924515,31.74107552,31.10532761,1318.690552,-458.8208313,1190.5625,2.227719307,783.8815308,1318.690552,1190.5625,-456.0349731,0.185643271,1.094608065,0.229090816,4.051653598,0.042197362,0.062737209,6.340128899,197.375,-484.2108765,0.293251932,0,12.49909115,1.529486656
Museum Victoria,6199,15/8/1965,89.8,-42.75,146.65,Tasmania,1.517258525,4.71584177,10.64785385,7.461400986,20.32100105,15.1272068,1153.567627,473.2205505,637.125,7.021304131,1477.567017,220.4960022,249.8125,-139.0878754,0.612728894,0.191597092,0.50138256,1.916869464,0.282766769,0.554000074,220.4960022,76.1875,-138.9491272,1.632079005,1.850000024,23.93102455,1.043398261
Museum Victoria,6201,15/8/1965,88.98,-42.75,146.65,Tasmania,1.517258525,4.71584177,10.64785385,7.461400986,20.32100105,15.1272068,1153.567627,473.2205505,637.125,7.021304131,1477.567017,220.4960022,249.8125,-139.0878754,0.612728894,0.191597092,0.50138256,1.916869464,0.282766769,0.554000074,220.4960022,76.1875,-138.9491272,1.632079005,1.850000024,23.93102455,1.043398261
Museum Victoria,6292,23/8/1965,83.62,-41.55,146.75,Tasmania,1.544466019,5.25740242,12.66001034,9.347398758,22.01930618,16.64779663,909.0431519,272.8068237,613.25,6.765012741,1492.390503,152.1193848,229.75,-193.2041321,0.537018538,0.306727714,0.483544913,3.577989269,0.266099908,0.577889676,152.1193848,78.1875,-193.4068146,1.591150403,1,21.23069954,1.296764493
South Australian Museum,M7 358,8/8/1965,89.55,-40.9,148.1,Tasmania,6.479210854,9.502701759,14.67963791,11.85210896,20.16667366,16.72820473,778.8175659,-49.01356125,658.53125,6.371217251,1112.640991,203.4013367,307.78125,-208.2433014,0.51357007,0.197304393,0.518642826,13.56743655,0.176704627,0.270211119,145.5703583,73.59375,-184.3760986,1.481170058,1.909999967,14.17749977,1.248317599
South Australian Museum,M7 359,8/8/1965,84.42,-40.9,148.1,Tasmania,6.479210854,9.502701759,14.67963791,11.85210896,20.16667366,16.72820473,778.8175659,-49.01356125,658.53125,6.371217251,1112.640991,203.4013367,307.78125,-208.2433014,0.51357007,0.197304393,0.518642826,13.56743655,0.176704627,0.270211119,145.5703583,73.59375,-184.3760986,1.481170058,1.909999967,14.17749977,1.248317599
South Australian Museum,M7 360,8/8/1965,81.07,-40.9,148.1,Tasmania,6.479210854,9.502701759,14.67963791,11.85210896,20.16667366,16.72820473,778.8175659,-49.01356125,658.53125,6.371217251,1112.640991,203.4013367,307.78125,-208.2433014,0.51357007,0.197304393,0.518642826,13.56743655,0.176704627,0.270211119,145.5703583,73.59375,-184.3760986,1.481170058,1.909999967,14.17749977,1.248317599
South Australian Museum,M7 363,8/8/1965,84.61,-40.9,148.1,Tasmania,6.479210854,9.502701759,14.67963791,11.85210896,20.16667366,16.72820473,778.8175659,-49.01356125,658.53125,6.371217251,1112.640991,203.4013367,307.78125,-208.2433014,0.51357007,0.197304393,0.518642826,13.56743655,0.176704627,0.270211119,145.5703583,73.59375,-184.3760986,1.481170058,1.909999967,14.17749977,1.248317599
South Australian Museum,M7 366,8/8/1965,81.58,-40.9,148.1,Tasmania,6.479210854,9.502701759,14.67963791,11.85210896,20.16667366,16.72820473,778.8175659,-49.01356125,658.53125,6.371217251,1112.640991,203.4013367,307.78125,-208.2433014,0.51357007,0.197304393,0.518642826,13.56743655,0.176704627,0.270211119,145.5703583,73.59375,-184.3760986,1.481170058,1.909999967,14.17749977,1.248317599
South Australian Museum,M7 367,8/8/1965,86.37,-40.9,148.1,Tasmania,6.479210854,9.502701759,14.67963791,11.85210896,20.16667366,16.72820473,778.8175659,-49.01356125,658.53125,6.371217251,1112.640991,203.4013367,307.78125,-208.2433014,0.51357007,0.197304393,0.518642826,13.56743655,0.176704627,0.270211119,145.5703583,73.59375,-184.3760986,1.481170058,1.909999967,14.17749977,1.248317599
Western Australia Museum,6962,16/9/1965,76.9,-32,115.85,Australian mainland,9.387026787,12.98826313,18.27521896,15.16783619,29.35063934,23.69045067,830.5631714,-693.5288086,720.25,2.37678504,792.9584961,280.2364197,560.75,-925.4122925,0.192641079,0.888866666,0.46715075,2.193826434,0.197357347,0.255921262,32.25807571,101.25,-506.6075439,0.565630972,2.700000048,5.806176662,1.383730054
Western Australia Museum,7030,16/9/1965,73,-32,115.85,Australian mainland,9.387026787,12.98826313,18.27521896,15.16783619,29.35063934,23.69045067,830.5631714,-693.5288086,720.25,2.37678504,792.9584961,280.2364197,560.75,-925.4122925,0.192641079,0.888866666,0.46715075,2.193826434,0.197357347,0.255921262,32.25807571,101.25,-506.6075439,0.565630972,2.700000048,5.806176662,1.383730054
Western Australia Museum,7033,18/9/1965,73.9,-32,115.85,Australian mainland,9.387026787,12.98826313,18.27521896,15.16783619,29.35063934,23.69045067,830.5631714,-693.5288086,720.25,2.37678504,792.9584961,280.2364197,560.75,-925.4122925,0.192641079,0.888866666,0.46715075,2.193826434,0.197357347,0.255921262,32.25807571,101.25,-506.6075439,0.565630972,2.700000048,5.806176662,1.383730054
Western Australia Museum,7034,11/9/1965,79.91,-32,115.85,Australian mainland,9.387026787,12.98826313,18.27521896,15.16783619,29.35063934,23.69045067,830.5631714,-693.5288086,720.25,2.37678504,792.9584961,280.2364197,560.75,-925.4122925,0.192641079,0.888866666,0.46715075,2.193826434,0.197357347,0.255921262,32.25807571,101.25,-506.6075439,0.565630972,2.700000048,5.806176662,1.383730054
Tasmanian Museum and Art Gallery,A707,26/9/1965,98.33,-42.95,147.3,Tasmania,3.821653128,7.000357151,12.16355228,9.198900223,20.42358208,16.08114433,803.6162109,15.74658585,561.0625,5.501692295,810.5859985,188.7535095,222.3125,-175.0710297,0.461057901,0.073833754,0.527470005,42.59805826,0.227612605,0.370859365,188.3448334,66.09375,-175.3379517,1.253098369,1.00999999,25.38007736,1.195902228
Western Australia Museum,7017,5/10/1965,76.6,-32,115.85,Australian mainland,9.387026787,12.98826313,18.27521896,15.16783619,29.35063934,23.69045067,830.5631714,-693.5288086,720.25,2.37678504,792.9584961,280.2364197,560.75,-925.4122925,0.192641079,0.888866666,0.46715075,2.193826434,0.197357347,0.255921262,32.25807571,101.25,-506.6075439,0.565630972,2.700000048,5.806176662,1.383730054
Western Australia Museum,7018,4/10/1965,82.23,-32,115.85,Australian mainland,9.387026787,12.98826313,18.27521896,15.16783619,29.35063934,23.69045067,830.5631714,-693.5288086,720.25,2.37678504,792.9584961,280.2364197,560.75,-925.4122925,0.192641079,0.888866666,0.46715075,2.193826434,0.197357347,0.255921262,32.25807571,101.25,-506.6075439,0.565630972,2.700000048,5.806176662,1.383730054
South Australian Museum,M7 369,13/12/1965,79.5,-35.4,138.95,Australian mainland,6.557377338,10.02679348,16.17397308,13.21211815,26.14420128,21.16717529,412.2669373,-772.1647949,413.875,4.455986977,516.8759766,174.0703278,242,-753.270874,0.285875618,0.363417151,0.126430683,1.12901301,0.200620804,0.293240523,59.89147568,89,-412.7052002,0.583985329,2.569999933,19.69851875,1.466306806
South Australian Museum,M8 638,13/12/1965,79.5,-35.4,138.95,Australian mainland,6.557377338,10.02679348,16.17397308,13.21211815,26.14420128,21.16717529,412.2669373,-772.1647949,413.875,4.455986977,516.8759766,174.0703278,242,-753.270874,0.285875618,0.363417151,0.126430683,1.12901301,0.200620804,0.293240523,59.89147568,89,-412.7052002,0.583985329,2.569999933,19.69851875,1.466306806
Museum Victoria,8050,11/2/1966,90.05,-40,148.05,small island,7.087272167,9.955312729,14.71517754,11.90854454,20.29639816,16.64613914,777.5884399,-39.36780548,716.75,6.786423206,940.618042,199.7436218,349.5,-217.1921234,0.455161512,0.223506951,0.53645046,18.28532938,0.186346725,0.25129098,140.9226074,76.5,-194.899765,1.362260699,1.649999976,15.66329956,1.282917023
Western Australia Museum,6947,10/2/1966,64.51,-20.8,115.4,small island,15.15981293,19.87218857,24.70311356,20.9514389,34.49129105,30.9186058,273.7919617,-2394.914551,314.875,1.818679094,160.1528473,273.7919922,314.875,-2395.609375,0.151556596,0.717671762,0.567788111,0.118417355,0.11928649,0.191586642,4.561600208,18.6875,-794.8679199,0.337424666,0.970000029,30,1.299999952
Australian National Wildlife Collection,M01227,7/3/1966,72.47,-11.1,132.15,Australian mainland,21.8701973,24.03026962,26.47028732,24.51924515,31.74107552,31.10532761,1318.690552,-458.8208313,1190.5625,2.227719307,783.8815308,1318.690552,1190.5625,-456.0349731,0.185643271,1.094608065,0.229090816,4.051653598,0.042197362,0.062737209,6.340128899,197.375,-484.2108765,0.293251932,0,12.49909115,1.529486656
Australian National Wildlife Collection,M01229,7/3/1966,76.34,-11.1,132.15,Australian mainland,21.8701973,24.03026962,26.47028732,24.51924515,31.74107552,31.10532761,1318.690552,-458.8208313,1190.5625,2.227719307,783.8815308,1318.690552,1190.5625,-456.0349731,0.185643271,1.094608065,0.229090816,4.051653598,0.042197362,0.062737209,6.340128899,197.375,-484.2108765,0.293251932,0,12.49909115,1.529486656
Australian National Wildlife Collection,M01230,7/3/1966,74.64,-11.1,132.15,Australian mainland,21.8701973,24.03026962,26.47028732,24.51924515,31.74107552,31.10532761,1318.690552,-458.8208313,1190.5625,2.227719307,783.8815308,1318.690552,1190.5625,-456.0349731,0.185643271,1.094608065,0.229090816,4.051653598,0.042197362,0.062737209,6.340128899,197.375,-484.2108765,0.293251932,0,12.49909115,1.529486656
Western Australia Museum,7578,9/4/1966,75.18,-32.1,116,Australian mainland,8.506578445,12.21448421,17.78521919,14.56857681,30.35854149,24.04600525,925.84729,-499.6479492,797.28125,4.058753967,437.8481445,312.1474915,605.28125,-837.3328247,0.32356897,0.883125558,0.413025604,3.34189126,0.21409672,0.281852811,36.39416122,123.71875,-494.5263977,0.916898668,2.5,12.06340027,1.454149008
