Collection,Registration number,Date,CBL,Latitude,Longitude,Island type,WinterMinTemp,AnnualMinTemp,SummerWetBulbTemp,AnnualWetBulbTemp,SummerMaxTemp,AnnualMaxTemp,AnnualRain,P–PET,aaET,NDVI,CenW,GrowSeasRain,GrowSeasaaET,GrowSeasP–PET,GrowSeasNDVI,CVSeasRain,CVSeasaaET,CVSeasP–PET,CVSeasMaxTemp,CVSeasMinTemp,MinSeasRain,MinSeasaaET,MinSeasP–PET,MinSeasNDVI,Soil nutrient availability,Clay content percentage (0 – 30 cm),Soil bulk density (0 – 30 cm)
South Australian Museum,M2 516,15/8/1928,80.6,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
South Australian Museum,M2 517,15/8/1928,83.61,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
South Australian Museum,M2 519,15/8/1928,81.62,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
South Australian Museum,M2 524,15/8/1928,84.31,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
South Australian Museum,M2 526,15/8/1928,81.87,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
South Australian Museum,M2 531,15/8/1928,80.61,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
South Australian Museum,M2 532,15/8/1928,83.65,-35.95,136.75,small island,9.353422165,11.52983379,15.36688519,13.01907539,22.23407555,18.34723663,688.1008301,-502.400177,549,5.798467636,1011.756531,169.3739014,285.5625,-594.8257446,0.485001773,0.647249756,0.209811454,2.085933506,0.174677611,0.175540599,61.88887405,108.34375,-370.9577332,1.388529658,2,9.446925163,1.399805546
Museums and Art Galleries of the Northern Territory,U 7930,15/1/1929,83.63,-24.5,150.55,Australian mainland,6.220085144,13.21536922,21.64795876,17.58343315,32.67291641,28.24057579,633.175415,-879.1519165,648.6875,3.999627352,542.5424805,547.8861694,553.4375,-736.595459,0.340553969,0.507165416,0.336607173,0.224625085,0.148865254,0.409712215,85.28923035,95.25,-296.6030579,0.759222984,1,42.24117279,1.45951128
Museums and Art Galleries of the Northern Territory,U 7934,15/1/1929,76.54,-24.5,150.55,Australian mainland,6.220085144,13.21536922,21.64795876,17.58343315,32.67291641,28.24057579,633.175415,-879.1519165,648.6875,3.999627352,542.5424805,547.8861694,553.4375,-736.595459,0.340553969,0.507165416,0.336607173,0.224625085,0.148865254,0.409712215,85.28923035,95.25,-296.6030579,0.759222984,1,42.24117279,1.45951128
South Australian Museum,M2 627,15/1/1929,79.5,-24.5,150.6,Australian mainland,6.255299091,13.21947765,21.61340141,17.55688477,32.53953171,28.13536835,631.0744019,-881.1948242,662.78125,3.937923431,542.5424805,545.0169678,565.28125,-739.3618774,0.348805934,0.502968641,0.333609519,0.229567479,0.148449567,0.407592578,86.05741882,97.5,-297.2373657,0.767759383,1,44.96784973,1.389919996
